TITLE,AUTHORS NAMES,ABSTRACT,LINK
Exponential Bellman Equation and Improved Regret Bounds for Risk-Sensitive Reinforcement Learning,"Yingjie Fei, Zhuoran Yang, Yudong Chen, Zhaoran Wang","We study risk-sensitive reinforcement learning (RL) based on the entropic risk measure. Although existing works have established non-asymptotic regret guarantees for this problem, they leave open an exponential gap between the upper and lower bounds. We identify the deficiencies in existing algorithms and their analysis that result in such a gap. To remedy these deficiencies, we investigate a simple transformation of the risk-sensitive Bellman equations, which we call the exponential Bellman equation. The exponential Bellman equation inspires us to develop a novel analysis of Bellman backup procedures in risk-sensitive RL algorithms, and further motivates the design of a novel exploration mechanism. We show that these analytic and algorithmic innovations together lead to improved regret upper bounds over existing ones.",https://www.semanticscholar.org/paper/Exponential-Bellman-Equation-and-Improved-Regret-Fei-Yang/3cb13b61804d5ff0d96c7cca127087171c880beb
Variants of Bellman equation on reinforcement learning problems,Zhen-Yi Zhao,"Reinforcement learning is a popular tool nowadays applied in a wide range of fields. Markov Decision Process is the basis of reinforcement learning and the Bellman equation derived from the value function of the Markov decision process has become a fundamental tool for finding optimal policies. However, the application of the basic Bellman formula has significant limitations and is computationally complex, resulting in high time costs and low efficiency. Therefore, there are different variants of the Bellman formula and various solutions to different problems. These solutions include MonteCarlo method, Temporal-Difference learning, Sarsa algorithm, Q-learning algorithm, Deep Q-Networks, Hamilton-Jacobi-Bellman equation and others. This paper reviews these algorithms and compares the complexity of each algorithm.",https://www.semanticscholar.org/paper/Variants-of-Bellman-equation-on-reinforcement-Zhao/ba56b43c34d6161effed557880b10b5db074afca
Exponential TD Learning: A Risk-Sensitive Actor-Critic Reinforcement Learning Algorithm,"Erfaun Noorani, Christos N. Mavridis, J. Baras","Incorporating risk in the decision-making process has been shown to lead to significant performance improvement in optimal control and reinforcement learning algorithms. We construct a temporal-difference risk-sensitive reinforcement learning algorithm using the exponential criteria commonly used in risk-sensitive control. The proposed method resembles an actor-critic architecture with the ‘actor’ implementing a policy gradient algorithm based on the exponential of the reward-to-go, which is estimated by the ‘critic’. The novelty of the update rule of the ‘critic’ lies in the use of a modified objective function that corresponds to the underlying multiplicative Bellman’s equation. Our results suggest that the use of the exponential criteria accelerates the learning process and reduces its variance, i.e., risk-sensitiveness can be utilized by actor-critic methods and can lead to improved performance.",https://www.semanticscholar.org/paper/Exponential-TD-Learning%3A-A-Risk-Sensitive-Learning-Noorani-Mavridis/424133b1bd28c019f44b80aab0be4530f54577b9
Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning,"Harley Wiltzer, D. Meger, Marc G. Bellemare","Continuous-time reinforcement learning offers an appealing formalism for describing control problems in which the passage of time is not naturally divided into discrete increments. Here we consider the problem of predicting the distribution of returns obtained by an agent interacting in a continuous-time, stochastic environment. Accurate return predictions have proven useful for determining optimal policies for risk-sensitive control, learning state representations, multiagent coordination, and more. We begin by establishing the distributional analogue of the Hamilton-Jacobi-Bellman (HJB) equation for It\^o diffusions and the broader class of Feller-Dynkin processes. We then specialize this equation to the setting in which the return distribution is approximated by $N$ uniformly-weighted particles, a common design choice in distributional algorithms. Our derivation highlights additional terms due to statistical diffusivity which arise from the proper handling of distributions in the continuous-time setting. Based on this, we propose a tractable algorithm for approximately solving the distributional HJB based on a JKO scheme, which can be implemented in an online control algorithm. We demonstrate the effectiveness of such an algorithm in a synthetic control problem.",https://www.semanticscholar.org/paper/Distributional-Hamilton-Jacobi-Bellman-Equations-Wiltzer-Meger/fc31f432580ba762a31e60ab3a21f0f155fac5b4
Risk-Sensitive Reinforcement Learning with Exponential Criteria,"Erfaun Noorani, Christos N. Mavridis, J. Baras","While reinforcement learning has shown experimental success in a number of applications, it is known to be sensitive to noise and perturbations in the parameters of the system, leading to high variance in the total reward amongst different episodes in slightly different environments. To introduce robustness, as well as sample efficiency, risk-sensitive reinforcement learning methods are being thoroughly studied. In this work, we provide a definition of robust reinforcement learning policies and formulate a risk-sensitive reinforcement learning problem to approximate them, by solving an optimization problem with respect to a modified objective based on exponential criteria. In particular, we study a model-free risk-sensitive variation of the widely-used Monte Carlo Policy Gradient algorithm and introduce a novel risk-sensitive online Actor-Critic algorithm based on solving a multiplicative Bellman equation using stochastic approximation updates. Analytical results suggest that the use of exponential criteria generalizes commonly used ad-hoc regularization approaches, improves sample efficiency, and introduces robustness with respect to perturbations in the model parameters and the environment. The implementation, performance, and robustness properties of the proposed methods are evaluated in simulated experiments.",https://www.semanticscholar.org/paper/Risk-Sensitive-Reinforcement-Learning-with-Criteria-Noorani-Mavridis/f114e0d03a5fda080b1a04e31f8873464a2ed872
Mean-Semivariance Policy Optimization via Risk-Averse Reinforcement Learning,"Xiaoteng Ma, Shuai Ma, Li Xia, Qianchuan Zhao","Keeping risk under control is often more crucial than maximizing expected reward in real-world decision-making situations, such as finance, robotics, autonomous driving, etc. The most natural choice of risk measures is variance, while it penalizes the upside volatility as much as the downside part. Instead, the (downside) semivariance, which captures the negative deviation of a random variable under its mean, is more suitable for risk-averse proposes. This paper aims at optimizing the mean-semivariance (MSV) criterion in reinforcement learning w.r.t. steady rewards. Since semivariance is time-inconsistent and does not satisfy the standard Bellman equation, the traditional dynamic programming methods are inapplicable to MSV problems directly. To tackle this challenge, we resort to the Perturbation Analysis (PA) theory and establish the performance difference formula for MSV. We reveal that the MSV problem can be solved by iteratively solving a sequence of RL problems with a policy-dependent reward function. Further, we propose two on-policy algorithms based on the policy gradient theory and the trust region method. Finally, we conduct diverse experiments from simple bandit problems to continuous control tasks in MuJoCo, which demonstrate the effectiveness of our proposed methods.",https://www.semanticscholar.org/paper/Mean-Semivariance-Policy-Optimization-via-Learning-Ma-Ma/c3a2e7d52d975b50c9e98e6cca4a7449b3068c2f
Bridging Physics-Informed Neural Networks with Reinforcement Learning: Hamilton-Jacobi-Bellman Proximal Policy Optimization (HJBPPO),"Amartya Mukherjee, Jun Liu",This paper introduces the Hamilton-Jacobi-Bellman Proximal Policy Optimization (HJBPPO) algorithm into reinforcement learning. The Hamilton-Jacobi-Bellman (HJB) equation is used in control theory to evaluate the optimality of the value function. Our work combines the HJB equation with reinforcement learning in continuous state and action spaces to improve the training of the value network. We treat the value network as a Physics-Informed Neural Network (PINN) to solve for the HJB equation by computing its derivatives with respect to its inputs exactly. The Proximal Policy Optimization (PPO)-Clipped algorithm is improvised with this implementation as it uses a value network to compute the objective function for its policy network. The HJBPPO algorithm shows an improved performance compared to PPO on the MuJoCo environments.,https://www.semanticscholar.org/paper/Bridging-Physics-Informed-Neural-Networks-with-Mukherjee-Liu/cd5775dfbf2235ee8018f0d513617a72146c25f5
Reinforcement learning beyond the Bellman equation: Exploring critic objectives using evolution,"A. Leite, Madhavun Candadai, E. Izquierdo",Living organisms learn on multiple time scales: evolutionary as well as individual-lifetime learning. These two learning modes are complementary: the innate phenotypes developed through evolution s...,https://www.semanticscholar.org/paper/Reinforcement-learning-beyond-the-Bellman-equation%3A-Leite-Candadai/2c2a2ae0d3e7c7c10b285f6d693921b10ab476a5
Is Risk-Sensitive Reinforcement Learning Properly Resolved?,"Ruiwen Zhou, Minghuan Liu, Kan Ren, Xufang Luo, Weinan Zhang, Dongsheng Li","Due to the nature of risk management in learning applicable policies, risk-sensitive reinforcement learning (RSRL) has been realized as an important direction. RSRL is usually achieved by learning risk-sensitive objectives characterized by various risk measures, under the framework of distributional reinforcement learning. However, it remains unclear if the distributional Bellman operator properly optimizes the RSRL objective in the sense of risk measures. In this paper, we prove that the existing RSRL methods do not achieve unbiased optimization and can not guarantee optimality or even improvements regarding risk measures over accumulated return distributions. To remedy this issue, we further propose a novel algorithm, namely Trajectory Q-Learning (TQL), for RSRL problems with provable convergence to the optimal policy. Based on our new learning architecture, we are free to introduce a general and practical implementation for different risk measures to learn disparate risk-sensitive policies. In the experiments, we verify the learnability of our algorithm and show how our method effectively achieves better performances toward risk-sensitive objectives.",https://www.semanticscholar.org/paper/Is-Risk-Sensitive-Reinforcement-Learning-Properly-Zhou-Liu/05bde4269ebeef94d3ccf7248d12b1b9e4b8edfa
Pitfall of Optimism: Distributional Reinforcement Learning by Randomizing Risk Criterion,"Taehyun Cho, Seung Han, Heesoo Lee, Kyungjae Lee, Jungwoo Lee","Distributional reinforcement learning algorithms have attempted to utilize estimated uncertainty for exploration, such as optimism in the face of uncertainty. However, using the estimated variance for optimistic exploration may cause biased data collection and hinder convergence or performance. In this paper, we present a novel distributional reinforcement learning algorithm that selects actions by randomizing risk criterion to avoid one-sided tendency on risk. We provide a perturbed distributional Bellman optimality operator by distorting the risk measure and prove the convergence and optimality of the proposed method with the weaker contraction property. Our theoretical results support that the proposed method does not fall into biased exploration and is guaranteed to converge to an optimal return. Finally, we empirically show that our method outperforms other existing distribution-based algorithms in various environments including Atari 55 games.",https://www.semanticscholar.org/paper/Pitfall-of-Optimism%3A-Distributional-Reinforcement-Cho-Han/034b015f0a8e8f1921e2e4d8c854c939228c4e02
